course_id,title,num_inst,institutions
AAE0100,VOCATIONAL PREPARATORY READING,2,DSC;PESC
AAE0200,VOCATIONAL PREPARATORY MATHEMATICS,2,DSC;PESC
AAE0311,VOCATIONAL PREPARATORY ENGLISH,2,MDC;PESC
ABE3000C,APPLICATIONS IN BIOLOGICAL ENGINEERING,2,FAMU;UF
ABE3212C,LAND AND WATER RESOURCES ENGINEERING,2,FAMU;UF
ABE4034,REMOTE SENSING AND GIS IN ENGINEERING,2,FAMU;UF
ABE4042C,BIOLOGICAL ENGINEERING DESIGN I,2,FAMU;UF
ABE4043C,BIOLOGICAL ENGINEERING DESIGN 2,2,FAMU;UF
ABE4662,QUANTIFICATION OF BIOLOGICAL PROCESSES,2,FAMU;UF
ABE4812,FOOD AND BIOPROCESS ENGINEERING,2,FAMU;UF
ABE4905,INDIVIDUAL STUDY IN BIOLOGICAL ENGINEERING,2,FAMU;UF
ABE4932,SPECIAL TOPICS,2,FAMU;UF
ABE4949,BIOLOGICAL ENGINEERING INTERNSHIP,2,FAMU;UF
ABX0100,MATH COMBO,3,IRSC;PESC;SFC
ABX0101,ABE BEGINNING MATH,2,SJRSC;TSC
ABX0102,ABE INTERMEDIATE MATH,2,SJRSC;TSC
ABX0110,ABX MATH 1,3,CF;MDC;SSCF
ABX0120,ABX MATH 2,4,CF;MDC;SJRSC;SSCF
ABX0130,ABX MATH 3,3,CF;MDC;SSCF
ABX0140,MATHEMATICS 4,2,CF;MDC
ABX0200,READING COMBO,2,PESC;SFC
ABX0210,READING 1,2,CF;MDC
ABX0220,READING 2,2,CF;MDC
ABX0230,READING 3,2,CF;MDC
ABX0240,READING 4,2,CF;MDC
ABX0300,LANGUAGE COMBO,2,PESC;SFC
ABX0310,LANGUAGE 1,2,CF;MDC
ABX0320,LANGUAGE 2,2,CF;MDC
ABX0330,LANGUAGE 3,2,CF;MDC
ABX0340,LANGUAGE 4,2,CF;MDC
ABX0400,REASONING THROUGH LANGUAGE ARTS,2,IRSC;SFC
ABX0420,ABX RLA-ONLINE,2,FSCJ;SJRSC
ABX0421,ABX RLA-ONLINE SUMMER A,2,FSCJ;SJRSC
ABX0422,ABX RLA-ONLINE SUMMER B,2,FSCJ;SJRSC
ACG1001,PRINCIPLES OF ACCOUNTING,6,AU;CBT;FSWSC;KU;SSCF;UIC
ACG1011,ACCOUNTING II,2,AU;CBT
ACG1949,ACCOUNTING CO-OP I,2,CF;SFSC
ACG2001,PRINCIPLES OF ACCOUNTING I,14,BC;EU;FLAC;GCSC;IRSC;MAU;MDC;NWFSC;PESC;SFC;SFSC;SIUN;STU;TSC
ACG2002,COMPUTERIZED ACCOUNTING,3,CC;EWU;PESC
ACG2011,PRINCIPLES OF ACCOUNTING II,14,BC;EU;FLAC;GCSC;IRSC;KU;MAU;MDC;NWFSC;PESC;SFC;SFSC;STU;TSC
ACG2021C,PRINCIPLES OF FINANCIAL ACCOUNTING,39,CBT;CC;CF;CFK;DORAL;DSC;EFSC;EWU;FAMU;FAU;FGC;FGCU;FIU;FLPOLY;FNU;FSCJ;FSU;FSWSC;HC;LSSC;MDC;NFC;NWFSC;PESC;PHSC;PSC;SCFMS;SFC;SFSC;SJRSC;SPC;SSCF;TSC;UCF;UF;UNF;USF;UWF;VC
ACG2022,FINANCIAL ACCOUNTING,3,EWU;FAMU;PBSC
ACG2030C,ACCOUNTING CAPSTONE,5,FNU;FSCJ;HC;PSC;VC
ACG2062C,COMPUTER FOCUSED PRINCIPLES,2,KU;RU
ACG2071C,MANAGERIAL ACCOUNTING,44,BC;CBT;CC;CF;CFK;DORAL;DSC;EFSC;EWU;FAMU;FAU;FGC;FGCU;FIU;FLPOLY;FNU;FSCJ;FSU;FSWSC;GCSC;HC;IRSC;LSSC;MDC;NFC;NWFSC;PBSC;PESC;PHSC;PSC;SCFMS;SFC;SFSC;SJRSC;SPC;SSCF;TCJ;TSC;UCF;UF;UNF;USF;UWF;VC
ACG2100C,INTERMEDIATE ACCOUNTING I,11,BC;EFSC;IRSC;NFC;PBSC;PHSC;PSC;SCFMS;SFSC;SSCF;VC
ACG2104,INTERMEDIATE ACCOUNTING I,3,CBT;HC;RU
ACG2110,INTERMEDIATE ACCOUNTING II,4,BC;NFC;PHSC;SCFMS
ACG2114,INTERMEDIATE ACCOUNTING II,2,CBT;RU
ACG2360C,COST ACCOUNTING,4,PBSC;SCFMS;SSCF;VC
ACG2450C,MICROCOMPUTERS IN ACCOUNTING,20,BC;CF;EFSC;EU;FSCJ;FSWSC;GCSC;HC;KU;MDC;NFC;NWFSC;PBSC;PHSC;PSC;SFSC;SJRSC;SPC;TSC;VC
ACG2453,ACCOUNTING SOFTWARE APPLICATIONS,2,FGC;SFC
ACG2500,GOVERNMENTAL AND NOT-FOR-PROFIT ACCOUNTING,3,FSWSC;SFC;TSC
ACG2680,FINANCIAL INVESTIGATION,2,FSCJ;RU
ACG2930,SPECIAL TOPICS IN ACCOUNTING,6,GCSC;RU;SCFMS;SFC;SFSC;UCF
ACG2949,INTERNSHIP IN ACCOUNTING,7,BC;DSC;HC;PESC;SCFMS;SFSC;SSCF
