course_id,title,prefix,subject_page
ACG2021,Principles of Financial Accounting,ACG,acg-accounting
ACG2071,Principles of Managerial Accounting,ACG,acg-accounting
ACG3024,Accounting for Non-Financial Majors,ACG,acg-accounting
ACG3101,Intermediate Accounting I,ACG,acg-accounting
ACG3113,Intermediate Accounting II,ACG,acg-accounting
ACG3123,Intermediate Accounting III,ACG,acg-accounting
ACG3341,Cost Accounting,ACG,acg-accounting
ACG4401,Accounting Information Systems,ACG,acg-accounting
ACG4501,Governmental and Nonprofit Accounting,ACG,acg-accounting
ACG4632,Auditing,ACG,acg-accounting
ACR0550C,Introduction to HVAC,ACR,acr-air-cond-refrig-and-heat
ACR0551C,Fundamentals of HVAC,ACR,acr-air-cond-refrig-and-heat
ACR0560C,Residential Air Conditioning I,ACR,acr-air-cond-refrig-and-heat
ACR0561C,Residential Air Conditioning II,ACR,acr-air-cond-refrig-and-heat
ACR0613C,Advanced Technology,ACR,acr-air-cond-refrig-and-heat
ACR0744C,Commercial Refrigeration I,ACR,acr-air-cond-refrig-and-heat
ACR0746C,Commercial Refrigeration II,ACR,acr-air-cond-refrig-and-heat
ACR0810C,Advanced Service Practice,ACR,acr-air-cond-refrig-and-heat
AER0014C,Automotive Service Assistor and Lab,AER,aer-automotive-service
AER0110C,Engine Mechanical Service and Repair and Lab,AER,aer-automotive-service
AER0172C,Automotive Heating and Air Conditioning Systems and Lab,AER,aer-automotive-service
AER0257C,Automotive Transmission and Transaxles and Lab,AER,aer-automotive-service
AER0274C,Manual Drivetrain and Axle and Lab,AER,aer-automotive-service
AER0360C,Electricity/Electronics Fundamentals and Lab,AER,aer-automotive-service
AER0418C,Automotive Brake Systems and Lab,AER,aer-automotive-service
AER0453C,Automotive Steering and Suspension and Lab,AER,aer-automotive-service
AER0503C,Automotive Engine Performance and Lab,AER,aer-automotive-service
AFR1101,U.S. Military Forces GMC - AF101,AFR,afr-military-science
AFR1111,The Air Force Today II (General Military Course) - AF102,AFR,afr-military-science
AFR2130,The Development of Air Power - AF201,AFR,afr-military-science
AFR2131,The Development of Air Power II (General Military Course) - AF202,AFR,afr-military-science
AFR3220,Air Force Management & Leadership - AF301,AFR,afr-military-science
AFR3221,Air Force Leadership Studies II (Professional Officer Course) - AF302,AFR,afr-military-science
AFR4231,Preparation for Active Duty - AF401,AFR,afr-military-science
AFR4232,Preparation for Active Duty II (Professional Officer Course) - AF402,AFR,afr-military-science
AMH2010,United States History to 1877,AMH,amh-history
AMH2020,United States History 1865 to Present,AMH,amh-history
AMH2057,The American Civil War,AMH,amh-history
AMH2058,World War II,AMH,amh-history
AMH2059,The Vietnam War,AMH,amh-history
AMH2091,Survey of African American History,AMH,amh-history
AML2600,Introduction to African American Literature,AML,aml-english-language-and-lit
ANT2000,Introduction to Anthropology,ANT,ant-anthropology
APA1111,Office Accounting I,APA,apa-accounting
