course_id,num_public_institutions,most_common_title,institutions,on_site_already
CES4605,8,STEEL DESIGN,FAMU FAU FIU FSU UCF UF USF UWF,no
CES4702,8,REINFORCED CONCRETE DESIGN,FAMU FAU FIU FSU UCF UF USF UWF,no
CWR3201,7,FLUID MECHANICS,FAMU FIU FSU UCF UF UNF UWF,no
CWR4202,7,HYDRAULIC ENGINEERING I,FAMU FAU FLPOLY FSU UF USF UWF,no
CET2615C,6,LAN SWITCHING AND WIRELESS,BC FGC NWFSC SJRSC SSCF VC,yes
CEG4012,5,GEOTECHNICAL ENGINEERING II,FAU FIU UCF UF USF,no
CES3100,5,STRUCTURAL ANALYSIS,FAMU FIU FSU UNF UWF,no
CES4711,5,PRESTRESSED CONCRETE,FAMU FAU FIU UF UNF,no
CWR4120,4,GROUNDWATER HYDROLOGY,FAMU FLPOLY FSU UCF,no
CEG3011,3,SOIL MECHANICS,FAMU FSU UWF,no
CEG4011,3,GEOTECHNICAL ENGINEERING I,FIU UF USF,no
CEG4801,3,GEOTECHNICAL DESIGN,FAMU FSU UWF,no
CES3102,3,STRUCTURES I,FLPOLY UF USF,no
CET2660,3,NETWORK SECURITY FUNDAMENTALS,DSC LSSC NWFSC,yes
CWR4540,3,WATER RESOURCE ENGINEERING,FAMU FSU USF,no
CEG2202,2,INTRO TO GEOMATICS,FAMU FSU,no
CEG2202L,2,INTRO TO GEOMATICS - LAB,FAMU FSU,no
CEG4011L,2,GEOTECHNICAL TEST LAB,FIU USF,no
CEG4104,2,ANALYSIS AND DESIGN OF EARTH RETAINING SYSTEMS,UF UNF,no
CEG4111,2,FOUNDATION ENGINEERING,FAMU UF,no
CEG4126,2,FUNDAMENTALS OF PAVEMENT DESIGN,FAU FIU,no
CES3605,2,DESIGN OF STEEL STRUCTURES,FLPOLY UNF,no
CES4704,2,ADVANCED REINFORCED CONCRETE DESIGN,FAMU USF,no
CES4743C,2,STRUCTURAL DESIGN,FLPOLY UCF,no
CES4800,2,TIMBER DESIGN,FAMU FSU,no
CES4830,2,MASONRY DESIGN,FAMU FAU,no
CET1114,2,DIGITAL CIRCUITS,CF SFC,yes
