course_id,title,num_inst,in_master,master_status,institutions
MAN3504,OPERATIONS MANAGEMENT,18,yes,queued,CC;EU;FLPOLY;FNU;FSU;KU;MDC;NWFSC;RU;SCFMS;SFSC;SPC;STU;TCJ;TSC;UIC;UNF;UWF
MCB2010L,MICROBIOLOGY LAB,17,yes,queued,BC;CC;CF;CFK;CMVC;FGC;IRSC;MDC;PBSC;PESC;PHSC;SCFMS;SFC;SJRSC;SPC;UNF;UWF
MCB3020C,MICROBIOLOGY,17,yes,queued,BC;EFSC;EWU;FAMU;FAU;FGCU;FIU;FLAC;FSCJ;KU;SPC;STU;UCF;UF;UNF;USF;UWF
MVK2122,CLASS PIANO IV,17,yes,queued,CF;EFSC;EWU;FAMU;FAU;FGCU;FLAC;FSCJ;FSU;FSWSC;MDC;PBSC;SSCF;UCF;UNF;USF;UWF
PGY2401C,PHOTOGRAPHY I,17,yes,queued,BC;FIU;FSCJ;FSU;FSWSC;HC;MDC;NFC;PESC;SCFMS;SPC;SSCF;UCF;UNF;USF;UWF;VC
CPO2002,COMPARATIVE GOVERNMENT,16,yes,queued,BC;FAMU;FAU;FIU;FSCJ;FSU;GCSC;KU;PBSC;PHSC;SCFMS;SPC;SSCF;UNF;USF;UWF
EDG4410,CLASSROOM MANAGEMENT AND COMMUNICATION,15,no,,BC;CC;CF;CFK;EFSC;FGC;FSCJ;FSU;IRSC;LSSC;PSC;SCFMS;SJRSC;UCF;UNF
HUN2201,FUNDAMENTALS OF HUMAN NUTRITION,15,yes,queued,CFK;FIU;FLAC;FLPOLY;HC;KU;NFC;NWFSC;PHSC;SCFMS;UCF;UF;UNF;USF;UWF
MAN4940,INTERNSHIP,15,no,,BC;CF;EWU;FAU;FLAC;JMVU;LSSC;MDC;NWFSC;PHSC;PSC;SPC;UNF;USF;UWF
PEM1131C,WEIGHT TRAINING,15,no,,BC;EFSC;FAMU;FLAC;FSCJ;FSU;GCSC;HC;MDC;NWFSC;PESC;PHSC;SSCF;UNF;VC
PSY3213C,RESEARCH METHODS IN PSYCHOLOGY,15,yes,queued,EWU;FAMU;FAU;FGCU;FIU;FLAC;FNU;FSU;KU;STU;TCF;UCF;UNF;USF;UWF
WOH1012,WORLD HISTORY TO 1500,15,no,,CFK;DORAL;EWU;FAMU;FSCJ;FSWSC;NFC;NWFSC;PBSC;PSC;SCFMS;SFBC;SJRSC;STU;UNF
EEC4940C,INTERNSHIP,14,no,,CF;FGC;FGCU;FIU;FSCJ;MDC;NWFSC;SCFMS;SFC;SJRSC;SPC;UCF;UNF;USF
HSC2100,PERSONAL AND COMMUNITY HEALTH,14,yes,queued,BC;FAU;FIU;FSCJ;GCSC;HC;IRSC;PBSC;PSC;SFSC;SPC;UNF;USF;UWF
MSL1001L,FOUNDATIONS OF OFFICERSHIP LAB,14,no,,BC;FAMU;FAU;FIU;FSCJ;FSU;MDC;PBSC;PESC;PHSC;PSC;SFC;UF;UNF
MSL1002L,BASIC LEADERSHIP LAB,14,no,,BC;FAU;FIU;FSCJ;FSU;MDC;PBSC;PESC;PHSC;PSC;SFC;TSC;UF;UNF
PCB4233C,IMMUNOLOGY,14,yes,queued,EFSC;EWU;FAMU;FAU;FGCU;FIU;FSU;IRSC;MDC;SFC;SPC;UF;UNF;UWF
BCN2405C,CONSTRUCTION MECHANICS,13,yes,queued,FGCU;FIU;FSCJ;GCSC;KU;PESC;SFC;SSCF;TSC;UF;UNF;UWF;VC
BSC4434C,INTRODUCTION TO BIOINFORMATICS,13,yes,queued,EFSC;EWU;FAMU;FAU;FGCU;FIU;IRSC;KU;MDC;UCF;UF;UNF;UWF
CCJ4940,INTERNSHIP IN CRIMINOLOGY,13,no,,CF;EWU;FAU;FGCU;FIU;FNU;FSU;KU;STU;UF;UNF;USF;UWF
EDF2085,TEACHING DIVERSE POPULATIONS,13,no,,DORAL;FAMU;FIU;FLAC;FNU;FSU;KU;SFSC;TSC;UCF;UF;UNF;USF
MSL2101L,INDIVIDUAL LEADERSHIP STUDIES LAB,13,no,,BC;FAMU;FAU;FIU;FSCJ;FSU;MDC;PBSC;PHSC;PSC;SFC;UF;UNF
MSL2102L,LEADERSHIP AND TEAMWORK LAB,13,no,,BC;FAU;FIU;FSCJ;FSU;MDC;PBSC;PESC;PHSC;PSC;SFC;UF;UNF
MVB1012,APP MUS PRIN FR HORN,13,no,,BC;CC;FAMU;FGCU;FSCJ;FSU;FSWSC;GCSC;HC;MDC;SCFMS;SPC;UNF
NUR4945C,NURSING CAPSTONE,13,no,,BC;EFSC;FLAC;FSU;GCSC;LSSC;PBSC;PHSC;SFC;SFSC;SSCF;UNF;VC
