course_id,title,num_inst,in_master,master_status,institutions
HUN2201,FUNDAMENTALS OF HUMAN NUTRITION,15,yes,queued,CFK;FIU;FLAC;FLPOLY;HC;KU;NFC;NWFSC;PHSC;SCFMS;UCF;UF;UNF;USF;UWF
MAN4940,INTERNSHIP,15,no,,BC;CF;EWU;FAU;FLAC;JMVU;LSSC;MDC;NWFSC;PHSC;PSC;SPC;UNF;USF;UWF
PSY3213C,RESEARCH METHODS IN PSYCHOLOGY,15,yes,queued,EWU;FAMU;FAU;FGCU;FIU;FLAC;FNU;FSU;KU;STU;TCF;UCF;UNF;USF;UWF
EUH1001,WESTERN CIVILIZATION II,14,yes,queued,BC;BU;DORAL;EFSC;FLAC;FSCJ;GCSC;PESC;SCFMS;STU;TCF;TCJ;TSC;UWF
MAE4310,CONTENT AND METHODS OF TEACHING ELEMENTARY MATHEMATICS,14,yes,queued,BC;CC;DORAL;FAU;FGCU;FIU;FLAC;FSU;FSWSC;IRSC;KU;UF;USF;UWF
BCN2405C,CONSTRUCTION MECHANICS,13,yes,queued,FGCU;FIU;FSCJ;GCSC;KU;PESC;SFC;SSCF;TSC;UF;UNF;UWF;VC
BSC4434C,INTRODUCTION TO BIOINFORMATICS,13,yes,queued,EFSC;EWU;FAMU;FAU;FGCU;FIU;IRSC;KU;MDC;UCF;UF;UNF;UWF
CCJ4940,INTERNSHIP IN CRIMINOLOGY,13,no,,CF;EWU;FAU;FGCU;FIU;FNU;FSU;KU;STU;UF;UNF;USF;UWF
GEA2000,WORLD REGIONAL GEOGRAPHY,13,yes,queued,BC;CF;FAMU;FAU;FGCU;FIU;PESC;PHSC;SCFMS;SFC;TSC;USF;UWF
HSA3111,US HEALTH CARE SYSTEMS,13,yes,queued,CF;EFSC;FAU;FGCU;FIU;NWFSC;PHSC;RU;SCFMS;SFC;UCF;UF;UWF
ECO3101,INTERMEDIATE MICROECONOMICS,12,yes,queued,FAMU;FAU;FGCU;FIU;FLPOLY;FSU;STU;UCF;UF;UNF;USF;UWF
HSA3170,HEALTH CARE FINANCE,12,yes,queued,CF;FAMU;FNU;FSCJ;LSSC;PSC;RU;SCFMS;SPC;UCF;USF;UWF
LAH2020,LATIN AMERICAN HISTORY,12,yes,queued,CF;FAMU;FGCU;FIU;FSCJ;HC;SCFMS;SFC;SSCF;UF;USF;UWF
MAA4402,COMPLEX VARIABLES,12,yes,queued,EWU;FAMU;FAU;FGCU;FIU;FLPOLY;FSU;UCF;UF;UNF;USF;UWF
MAS4301,ABSTRACT ALGEBRA I,12,yes,queued,EWU;FAMU;FAU;FGCU;FIU;FLAC;SPC;UCF;UF;UNF;USF;UWF
CCJ3666,VICTIMOLOGY,11,yes,queued,EWU;FAU;FGCU;FIU;FNU;FSU;KU;MDC;STU;USF;UWF
CES4702C,REINFORCED CONCRETE DESIGN,11,yes,queued,FAMU;FAU;FGCU;FIU;FLPOLY;FSU;UCF;UF;UNF;USF;UWF
CJL3510,COURTS AND THE CRIMINAL JUSTICE SYSTEM,11,yes,queued,CF;EWU;FAMU;FSU;IRSC;PSC;SFSC;SSCF;STU;UCF;UWF
ECO3203,INTERMEDIATE MACROECONOMICS,11,yes,queued,FAMU;FAU;FGCU;FIU;FLPOLY;FSU;UCF;UF;UNF;USF;UWF
FIN4504,INVESTMENTS,11,yes,queued,DORAL;FAMU;FAU;FLAC;FSU;SPC;UCF;UF;UNF;USF;UWF
LAT1120C,BEGINNING LATIN I,11,yes,queued,FAU;FLAC;FSCJ;FSU;PESC;PHSC;TSC;UF;USF;UWF;VC
MVV3331,PRINCIPAL APPLIED VOICE,11,yes,queued,EWU;FAMU;FAU;FGCU;FIU;FLAC;FSU;UF;UNF;USF;UWF
MVV4341,PRINCIPAL APPLIED VOICE,11,yes,queued,EWU;FAMU;FAU;FGCU;FIU;FLAC;FSU;UF;UNF;USF;UWF
PAD3003,INTRODUCTION TO PUBLIC ADMINISTRATION,11,yes,queued,FAMU;FAU;FIU;FSWSC;IRSC;PESC;STU;UCF;UF;UWF;VC
PUR3000,PRINCIPLES OF PUBLIC RELATIONS,11,yes,queued,FAMU;FGCU;FIU;FLAC;FSU;UCF;UF;UIC;UNF;USF;UWF
SCE4310,CONTENT AND METHODS OF TEACHING ELEMENTARY SCIENCE,11,yes,queued,BC;CC;DORAL;FGCU;FIU;FLAC;FSU;UF;UNF;USF;UWF
SOP3004,SOCIAL PSYCHOLOGY,11,yes,queued,FAMU;FAU;FIU;FNU;FSU;SFBC;STU;UCF;UF;UNF;UWF
CCJ4700,METHODS OF RESEARCH IN CRIMINAL JUSTICE,10,yes,queued,DORAL;FAMU;FAU;FIU;FNU;FSCJ;FSU;IRSC;UF;UWF
EDG4940,INTEGRATING MATHEMATICS AND SCIENCE PRACTICUM,10,no,,CC;CFK;FAU;FGCU;FIU;IRSC;NWFSC;PSC;SPC;UWF
EGS1006C,INTRODUCTION TO THE ENGINEERING PROFESSION,10,yes,queued,CF;EFSC;FIU;LSSC;NWFSC;SSCF;UCF;UF;UWF;VC
FRE2200C,INTERMEDIATE FRENCH I,10,yes,queued,FIU;FLAC;FSCJ;NFC;SCFMS;SPC;SSCF;UCF;USF;UWF
HSA4191,HEALTH INFORMATION SYSTEMS,10,yes,queued,EWU;FAMU;FGCU;NWFSC;PESC;RU;SPC;UCF;UF;UWF
MMC2000,INTRODUCTION TO MASS MEDIA,10,yes,queued,EWU;FAMU;FSU;HC;MDC;PESC;SCFMS;SPC;STU;UWF
MUE2040,INTRODUCTION TO MUSIC EDUCATION,10,yes,queued,CF;FAU;FGCU;FIU;FLAC;FSU;UCF;UF;UNF;UWF
MUH3212,MUSIC HISTORY II,10,yes,queued,EWU;FAMU;FGCU;FIU;FLAC;FSU;UCF;UF;UNF;UWF
MVB2421,TRUMPET,10,yes,queued,FAU;FIU;FSU;PHSC;SFC;SPC;UCF;UF;USF;UWF
MVP2421,PERCUSSION,10,yes,queued,FAU;FIU;FSU;PHSC;SPC;SSCF;UCF;UF;USF;UWF
PAD6227,PUBLIC BUDGETING,10,no,,EWU;FAMU;FAU;FGCU;FIU;UCF;UF;UNF;USF;UWF
ACG4201,ADVANCED ACCOUNTING,9,yes,queued,CC;FAMU;FAU;FSU;KU;RU;STU;UNF;UWF
ACG4651,AUDITING,9,yes,queued,EWU;FAU;FIU;FNU;IRSC;KU;UCF;UNF;UWF
BSC4905C,DIRECTED STUDY,9,no,,CC;EWU;FAMU;FAU;FGCU;SPC;UNF;USF;UWF
CAP4770,DATA MINING,9,yes,queued,EFSC;FAU;FGCU;FIU;FLPOLY;SPC;UF;UNF;UWF
CCJ4641,ORGANIZED CRIME,9,yes,queued,DORAL;FIU;KU;MDC;PSC;STU;UCF;UNF;UWF
CES4605C,STEEL DESIGN,9,yes,queued,FAMU;FAU;FGCU;FIU;FSU;UCF;UF;USF;UWF
CHM4130C,INSTRUMENTAL ANALYSIS,9,yes,queued,FAMU;FGCU;FIU;FSU;UCF;UF;UNF;USF;UWF
CLP4314,HEALTH PSYCHOLOGY,9,yes,queued,FAU;FGCU;FIU;FNU;STU;UCF;UF;USF;UWF
COP2830C,WEB PROGRAMMING,9,yes,queued,FGC;FSWSC;HC;IRSC;SJRSC;SSCF;TSC;UWF;VC
COP4020,PROGRAMMING LANGUAGES,9,yes,queued,FAMU;FAU;FGCU;FLPOLY;FSU;UCF;UF;USF;UWF
CWR3201C,FLUID MECHANICS,9,yes,queued,FAMU;FAU;FGCU;FIU;FSU;UCF;UF;UNF;UWF
CWR4202C,HYDRAULICS,9,yes,queued,FAMU;FAU;FLPOLY;FSU;UCF;UF;UNF;USF;UWF
EDA6232,SCHOOL LAW,9,no,,DORAL;FAU;FGCU;FIU;UCF;UF;UNF;USF;UWF
MAP4341,PARTIAL DIFFERENTIAL EQUATIONS,9,yes,queued,EWU;FGCU;FLPOLY;FSU;UCF;UF;UNF;USF;UWF
MUE4480,MARCHING BAND TECHNIQUES,9,yes,queued,FAMU;FAU;FGCU;FIU;FSU;UF;UNF;USF;UWF
MUN3313,CONCERT CHOIR,9,yes,queued,FAMU;FGCU;FIU;FLAC;UCF;UF;UNF;USF;UWF
MUS4905,DIRECTED STUDY,9,no,,FAMU;FAU;FIU;FSU;UCF;UF;UNF;USF;UWF
MVB3331,PRINCIPAL APPLIED TRUMPET,9,yes,queued,EWU;FAMU;FAU;FIU;FLAC;FSU;UNF;USF;UWF
MVB3332,PRINCIPAL APPLIED FRENCH HORN,9,yes,queued,EWU;FAMU;FAU;FIU;FLAC;FSU;UNF;USF;UWF
MVB3333,PRINCIPAL APPLIED TROMBONE,9,yes,queued,EWU;FAMU;FAU;FIU;FLAC;FSU;UNF;USF;UWF
MVB3334,PRINCIPAL APPLIED BARITONE HORN,9,yes,queued,EWU;FAMU;FAU;FIU;FLAC;FSU;UNF;USF;UWF
MVB3335,PRINCIPAL APPLIED TUBA,9,yes,queued,EWU;FAMU;FAU;FIU;FLAC;FSU;UNF;USF;UWF
MVB4341,PRINCIPAL APPLIED TRUMPET,9,yes,queued,EWU;FAMU;FAU;FIU;FLAC;FSU;UNF;USF;UWF
